,Unnamed: 0,Images,IOU_ratios
96,96,10.1.1.185.1552_1.bmp,0.413965851
54,54,10.1.1.100.302_10.bmp,0.530279636
48,48,10.1.1.190.1808_4.bmp,0.559177101
44,44,10.1.1.192.1811_6.bmp,0.562023759
97,97,10.1.1.172.1007_3.bmp,0.563426018
41,41,10.1.1.120.1607_3.bmp,0.567325354
98,98,10.1.1.120.1527_3.bmp,0.56802094
17,17,10.1.1.160.709_3.bmp,0.572373807
1,1,10.1.1.160.615_15.bmp,0.572551906
64,64,10.1.1.1.2024_3.bmp,0.573975086
72,72,10.1.1.100.2013_24.bmp,0.578798831
38,38,10.1.1.160.503_5.bmp,0.57992816
32,32,10.1.1.100.2030_2.bmp,0.58831954
57,57,10.1.1.37.5365_5.bmp,0.594284415
4,4,10.1.1.13.2943_5.bmp,0.594601989
59,59,10.1.1.7.2153_5.bmp,0.596779048
20,20,10.1.1.1.2111_6.bmp,0.596802175
10,10,10.1.1.190.1802_6.bmp,0.602719545
63,63,10.1.1.1.2139_58.bmp,0.610057116
19,19,10.1.1.1.2066_4.bmp,0.611106932
83,83,10.1.1.160.653_12.bmp,0.612814963
15,15,10.1.1.1.2139_44.bmp,0.614185333
51,51,10.1.1.7.2137_6.bmp,0.614649594
84,84,10.1.1.1.2098_12.bmp,0.617632031
73,73,10.1.1.120.1527_4.bmp,0.619411707
16,16,10.1.1.6.2381_5.bmp,0.620044887
81,81,10.1.1.177.3007_20.bmp,0.620350838
77,77,10.1.1.160.604_22.bmp,0.620598853
62,62,10.1.1.6.2331_6.bmp,0.62189436
31,31,10.1.1.1.2028_14.bmp,0.623434126
61,61,10.1.1.160.652_9.bmp,0.62716645
13,13,10.1.1.160.577_5.bmp,0.628963649
87,87,10.1.1.7.2189_10.bmp,0.629436016
67,67,10.1.1.7.2101_27.bmp,0.630467057
35,35,10.1.1.34.6981_20.bmp,0.630487561
22,22,10.1.1.7.2164_18.bmp,0.631839037
53,53,10.1.1.1.2084_16.bmp,0.634915709
66,66,10.1.1.160.660_5.bmp,0.63533628
18,18,10.1.1.7.2101_28.bmp,0.636521161
58,58,10.1.1.193.1816_4.bmp,0.636542439
2,2,10.1.1.193.1803_3.bmp,0.641944885
85,85,10.1.1.160.531_12.bmp,0.642031729
11,11,10.1.1.6.2223_5.bmp,0.642203152
47,47,10.1.1.36.218_12.bmp,0.642782748
91,91,10.1.1.193.1810_12.bmp,0.643479288
86,86,10.1.1.160.611_127.bmp,0.646091819
68,68,10.1.1.35.2056_3.bmp,0.647148669
14,14,10.1.1.8.2165_14.bmp,0.64812839
82,82,10.1.1.1.2129_6.bmp,0.651048541
40,40,10.1.1.185.1562_87.bmp,0.65162164
6,6,10.1.1.160.500_5.bmp,0.652757227
69,69,10.1.1.1.2018_8.bmp,0.655347109
34,34,10.1.1.10.2577_6.bmp,0.657789052
8,8,10.1.1.20.2130_25.bmp,0.659729838
89,89,10.1.1.1.2054_5.bmp,0.660755038
75,75,10.1.1.160.649_16.bmp,0.662490189
76,76,10.1.1.160.529_30.bmp,0.663925529
24,24,10.1.1.20.2120_5.bmp,0.665897071
49,49,10.1.1.7.2122_17.bmp,0.666327119
25,25,10.1.1.7.2169_6.bmp,0.667258084
71,71,10.1.1.178.3002_12.bmp,0.667451382
94,94,10.1.1.8.2198_13.bmp,0.667552412
50,50,10.1.1.160.630_12.bmp,0.667663872
45,45,10.1.1.37.4664_23.bmp,0.668676734
80,80,10.1.1.1.2806_3.bmp,0.669789135
21,21,10.1.1.160.546_34.bmp,0.670674145
46,46,10.1.1.160.510_36.bmp,0.671898425
79,79,10.1.1.6.2197_3.bmp,0.672283769
55,55,10.1.1.175.3005_18.bmp,0.674799442
42,42,10.1.1.6.2272_19.bmp,0.675453067
5,5,10.1.1.1.2035_2.bmp,0.67653513
93,93,10.1.1.1.2089_8.bmp,0.676606774
23,23,10.1.1.6.2318_8.bmp,0.681357145
36,36,10.1.1.120.1615_4.bmp,0.682893634
95,95,10.1.1.160.701_6.bmp,0.684100151
7,7,10.1.1.100.291_4.bmp,0.684277952
30,30,10.1.1.190.2745_27.bmp,0.686740518
12,12,10.1.1.160.581_3.bmp,0.686788023
0,0,10.1.1.7.2164_21.bmp,0.686887026
78,78,10.1.1.1.2135_4.bmp,0.686959863
26,26,10.1.1.1.2806_2.bmp,0.68940413
9,9,10.1.1.120.1607_4.bmp,0.690147638
39,39,10.1.1.1.2071_7.bmp,0.691539466
37,37,10.1.1.6.2303_10.bmp,0.692455769
90,90,10.1.1.160.559_28.bmp,0.702545524
88,88,10.1.1.160.542_27.bmp,0.706628084
33,33,10.1.1.7.2187_11.bmp,0.713153958
52,52,10.1.1.35.9666_3.bmp,0.717351437
56,56,10.1.1.7.2108_18.bmp,0.718657374
28,28,10.1.1.179.3009_11.bmp,0.727335215
92,92,10.1.1.6.2188_6.bmp,0.729433417
3,3,10.1.1.185.1566_14.bmp,0.733549953
29,29,10.1.1.36.2833_19.bmp,0.738441586
65,65,10.1.1.33.8442_11.bmp,0.738702714
43,43,10.1.1.180.557_4.bmp,0.748507321
27,27,10.1.1.160.546_36.bmp,0.750432491
74,74,10.1.1.40.3122_3.bmp,0.755204797
60,60,10.1.1.1.2019_2.bmp,0.781485081
70,70,10.1.1.1.2057_5.bmp,0.788224936
